Species,conservative,liberal,mono.poly,Social,PCO1,PCO2,PCO3,ActivityCycle,AdultBodyMass.kg,DietBreadth,HabitatBreadth,InterbirthInterval.d,LitterSize,MaxLongevity.y,SexualMaturityAge.y,WeaningAge.d,GR.Area.km2,GR.MidRangeLat.dd,GR.MidRangeLong.dd,HuPopDen.Mean.n.km2,Precip.Mean.cm,Temp.Mean.1degC
Spilogale gracilis,Negative,Negative,polygamous,yes,-47.17,-12.92,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3831634.7,36.59,-112.01,22.96,3.41,11.77
Spilogale pygmaea,Negative,Negative,NA,NA,-47.17,-12.92,-0.16,2,0.37,6,1,NA,4,NA,NA,NA,95598.41,19.49,-100.42,36.44,9.72,21.71
Viverra civettina,Negative,Negative,NA,NA,59.01,-16.49,-24.37,1,12.06,6,1,NA,NA,NA,NA,NA,14075.26,10.87,76.27,521.43,19.25,25.79
Viverra megaspila,Negative,Negative,NA,NA,59.01,-16.49,-24.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595937.43,12.1,101.83,136.81,16.26,24.21
Vulpes rueppellii,Negative,Negative,monogamous,yes,-6.8,84.34,-17.14,1,3.25,1,1,NA,2.12,NA,NA,NA,11669070.9,24.61,27.22,23.42,0.87,22.18
Atilax paludinosus,Negative,Positive,NA,NA,62.12,-18.71,-28.77,2,3.6,6,2,182.5,2,17.42,0.64,35.89,14296320.45,-8.88,12.52,37.15,9.99,23.34
Suricata suricatta,Negative,Positive,monogamous,yes,62.23,-18.79,-28.92,3,0.73,1,1,365,3.86,12.5,1.03,55.68,1720747.74,-24.77,21.29,10.05,2.66,17.58
Crocuta crocuta,Negative,Positive,polygamous,yes,58.63,-16.33,-24.16,1,63.37,1,1,441.04,1.91,41.1,2.16,371.37,14790149.69,-5.14,16.93,33.56,7.83,23.85
Paradoxurus zeylonensis,Negative,Positive,NA,no,59.2,-16.61,-24.6,1,2.82,6,1,NA,2.5,NA,NA,NA,5405.27,6.93,80.63,443.85,17.03,24.58
Herpestes javanicus,Positive,Positive,NA,yes,62.17,-18.75,-28.85,3,0.75,6,1,152.08,2.21,10,0.46,43.59,6880297.87,14.29,78.4,188.18,9.6,20.82
Spilogale putorius,Positive,Positive,NA,NA,-47.17,-12.92,-0.16,1,0.57,6,1,243.33,5.07,10,0.54,55.68,2957350.08,37.14,-92.13,32.08,7.25,13.42
Canis mesomelas,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,2,8.25,6,1,273.75,3.89,14,0.66,34.1,6248779.95,-9.18,31.56,30.81,4.93,21.33
Canis adustus,Positive,Positive,monogamous,yes,-6.82,85.01,-17.31,1,10.39,6,1,NA,4.5,11.42,0.68,52.89,10581413.14,-6,13,35.2,9.08,23.65
Cerdocyon thous,Positive,Positive,monogamous,yes,-6.83,85.21,-17.36,1,5.74,7,1,243.33,3.09,11.5,0.76,72.33,7091683.41,-11.22,-55.68,35.64,11.87,23
Vulpes lagopus,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,2,3.58,1,1,365,7.65,15,0.81,49.5,16988732.37,65.45,0,2.84,3,-9.04
Vulpes vulpes,Positive,Positive,polygamous,no,-6.8,84.34,-17.14,1,4.82,1,1,365,4.59,15,0.88,50.71,63034304.34,43.1,0,66.44,4.66,3.43
Nyctereutes procyonoides,Positive,Positive,polygamous,yes,-6.75,83.16,-16.84,1,4.21,6,1,365,6.36,14,0.89,49.69,6704451.99,38.26,109.24,186.51,7.01,5.67
Cynictis penicillata,Positive,Positive,NA,yes,62.19,-18.77,-28.87,3,0.69,1,1,365,2.15,15.2,0.96,41.76,2233627.48,-25.71,22.04,15.27,3.33,18.42
Urocyon cinereoargenteus,Positive,Positive,monogamous,yes,-6.75,83.15,-16.84,2,3.83,6,1,365,3.71,15,0.96,63.79,9010481.09,26.13,-94.96,52.72,7,14.84
Mephitis mephitis,Positive,Positive,polygamous,no,-47.14,-12.9,-0.16,1,2.4,6,1,365,5.7,12.92,0.97,55.15,12277338.73,43.15,-94.89,28.88,5.27,7.6
Canis aureus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,9.66,6,1,365,3.74,16,1.02,61.3,25739527.43,21.14,45.74,79.29,4.46,21.72
Canis latrans,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,11.99,1,1,365,5.72,21.83,1.02,43.71,17099094.3,39.7,-117.6,27.27,5.3,5.82
Otocyon megalotis,Positive,Positive,monogamous,yes,-6.75,83.14,-16.83,2,4.1,1,1,182.5,4,13.8,1.15,42.46,5001822.67,-12.59,31.54,24.86,4.58,21.01
Galerella sanguinea,Positive,Positive,polygamous,no,62.16,-18.74,-28.82,3,0.54,6,1,182.5,2.5,6,1.28,54.44,16368169.48,-7.06,16.93,33.39,8.49,23.33
Procyon lotor,Positive,Positive,polygamous,yes,-50.12,-15.44,-0.21,2,6.37,6,2,365,3.06,21,1.54,104.16,11703644.72,32.99,-94.43,38.77,6.33,11.18
Canis lupus,Positive,Positive,monogamous,yes,-6.82,85.13,-17.34,2,31.76,1,1,365,4.98,29.5,1.86,44.82,50803439.7,47.38,3.9,37.87,3.48,0.48
Potos flavus,Positive,Positive,polygamous,yes,-49.51,-15.02,-0.2,1,2.44,4,2,365,1.11,29,2.35,109.13,12770952.51,0.3,-68.67,25.77,15.37,24.15
Nasua narica,Positive,Positive,NA,yes,-50.11,-15.44,-0.2,2,4.58,6,1,365,4,17.67,2.76,132.63,2329129.95,21.26,-95.33,46.82,8.62,20.56
Vulpes corsac,Positive,Positive,monogamous,yes,-6.8,84.34,-17.14,1,2.62,6,1,365,5.62,NA,2.81,54.56,6378396.4,41.96,92.4,22.43,1.94,3.78
Melogale moschata,Positive,Positive,NA,NA,-55.87,-20.43,-0.3,2,0.94,6,1,NA,2,10.5,NA,NA,1476533.73,25.77,107.91,325.78,12.03,16.38
Lycalopex sechurae,Positive,Positive,NA,NA,-6.83,85.29,-17.38,1,4.23,7,1,NA,NA,NA,NA,NA,75180.74,-8.14,-78.77,142.69,1.5,16.93
Lycalopex vetulus,Positive,Positive,monogamous,no,-6.83,85.29,-17.38,NA,4.23,6,1,365,3,NA,NA,NA,1486644.88,-14.56,-45.67,18.02,11.25,23.01
